"X.2","X.1","sample","scientific","maxn","family","genus","species","campaignid","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id","unique.name","full.name","X","cluster","cluster.new","number","n","coords.x1","coords.x2","class","depth.1","slope","aspect","roughness","tpi","flowdir","detrended.bathy","detr.slope","detr.flowdir","detr.tri","detr.tpi","detr.aspect","SSTmean_SSTARRS","SSTsterr_SSTARRS","SSTtrend_SSTARRS","optional"
113,113,"IO1","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.07868897,114.7788721,20201015,"12:07:00",NA,NA,NA,64.6,"Hayley","Yes","Yes","2020-10_south-west_stereo-BRUVs.IO1","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",264,"2731","C.IO.43","1","1",114.7788721,-34.07868897,"MBH",-63,0.004901427,4.620002747,3,0.625,16,33.87757111,0.001942122,16,0.768767774,0.625,4.599619389,20.18408775,0.018714249,0.177060023,TRUE
114,114,"IO100","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.07618897,114.9088721,20201029,"10:21:00",NA,NA,NA,43.6,"Rachel","Yes",NA,"2020-10_south-west_stereo-BRUVs.IO100","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",206,"1980","C.IO.39","100","1",114.9088721,-34.07618897,"MBH",-43,0.002350054,1.175774217,1,0.5,1,18.44405174,0.005244667,1,1.026275158,0.5,1.352075219,19.77408791,0.018714249,0.207060024,TRUE
115,115,"IO101","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.07868897,114.8963721,20201029,"10:10:00",NA,NA,NA,43.5,"Rachel","Yes","come back with different CAL","2020-10_south-west_stereo-BRUVs.IO101","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",204,"1980","C.IO.39","101","1",114.8963721,-34.07868897,"MBH",-42,0,1.570796371,0,0,128,22.90949631,0.002960001,1,0.526275158,-6.39e-14,1.491783381,19.83408737,0.018714249,0.197060019,TRUE
116,116,"IO102","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.07118897,114.9113721,20201029,"10:26:00",NA,NA,NA,45.2,"Rachel","Yes","Yes","2020-10_south-west_stereo-BRUVs.IO102","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",214,"2","C.IO.2","102","1",114.9113721,-34.07118897,"MBH",-45,0.004030767,1.227547646,2,-0.25,1,15.63471031,0.006930945,1,1.276275158,-0.25,1.339304566,19.77408791,0.018714249,0.207060024,TRUE
122,122,"IO113","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.05868897,114.7388721,20201023,"7:30:00",NA,NA,NA,111,"Rachel","Yes","Yes","2020-10_south-west_stereo-BRUVs.IO113","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",459,"715","C.IO.31","113","1",114.7388721,-34.05868897,"MBH",-111,0.010310535,4.756258011,5,-0.5,16,-3.756361008,0.007382691,16,1.256017447,-0.5,4.805417061,20.28408813,0.018714249,0.157060027,TRUE
123,123,"IO115","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.05368897,114.7363721,20201023,"7:34:00",NA,NA,NA,112,"Rachel","Yes","Yes","2020-10_south-west_stereo-BRUVs.IO115","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",458,"715","C.IO.31","115","1",114.7363721,-34.05368897,"MBH",-112,0.008725972,4.341187954,5,-0.125,16,-4.205359936,0.005953703,16,1.098724842,-0.125,4.197540283,20.28408813,0.018714249,0.187060013,TRUE
124,124,"IO117","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.06368897,114.7388721,20201023,"7:25:00",NA,NA,NA,115,"Rachel","Yes",NA,"2020-10_south-west_stereo-BRUVs.IO117","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",463,"715","C.IO.31","117","1",114.7388721,-34.06368897,"MBH",-112,0.010755653,4.278503418,7,-0.375,16,-4.62719059,0.008046766,16,1.502621412,-0.375,4.150365353,20.28408813,0.018714249,0.157060027,TRUE
125,125,"IO119","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.07618897,114.9038721,20201029,"10:17:00",NA,NA,NA,43.8,"Rachel","Yes",NA,"2020-10_south-west_stereo-BRUVs.IO119","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",205,"1980","C.IO.39","119","1",114.9038721,-34.07618897,"MBH",-43,0.002169072,1.570796371,1,-0.375,128,19.80439568,0.005125047,1,0.901275158,-0.375,1.52519381,19.77408791,0.018714249,0.207060024,TRUE
126,126,"IO122","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.11618897,114.8263721,20201015,"12:35:00",NA,NA,NA,57.4,"Brooke Gibbons","Yes",NA,"2020-10_south-west_stereo-BRUVs.IO122","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",387,"4946","C.IO.59","122","1",114.8263721,-34.11618897,"MBH",-48,0.001689221,4.441396236,1,-0.25,4,36.92308807,0.001342416,2,0.420042962,-0.25,1.73432672,20.03408813,0.018714249,0.167060018,TRUE
127,127,"IO123","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-10_south-west_stereo-BRUVs","IO","MBH",-34.10618897,114.8188721,20201015,"12:42:00",NA,NA,NA,49.1,"Hayley","Yes","Yes","2020-10_south-west_stereo-BRUVs.IO123","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",389,"4946","C.IO.59","123","1",114.8188721,-34.10618897,"MBH",-49,0.001084922,4.712388992,1,-0.5,16,37.70526123,0.001881373,1,0.670042932,-0.5,1.446291327,20.0940876,0.018714249,0.177060023,TRUE
